C_n,Fai_n,e2(input),v2(output),e3,v3,e4,v4,e5,v5
0,0,4.43E-02,2.39E-02,6.78E-02,1.20E-02,0.104582522,3.36E-03,8.99E-02,3.93E-03
0,0,0.170493877,3.03E-02,2.25E-02,1.72E-03,5.01E-02,7.29E-03,0.286334982,2.45E-03
0,0,7.12E-02,7.29E-03,5.21E-02,5.54E-03,1.60E-02,5.47E-03,0.121934376,5.24E-04
0,0,0.174297852,2.58E-02,7.64E-02,1.31E-02,9.95E-02,4.93E-03,5.52E-02,1.89E-03
0,0,0.144275708,2.73E-02,9.46E-02,1.38E-02,9.83E-02,6.72E-03,1.32E-02,1.65E-03
0,0,0.177182762,3.30E-02,8.86E-02,4.77E-03,0.211153946,5.39E-03,6.09E-02,6.00E-03
0,0,0.226506361,4.04E-02,0.19707293,1.12E-02,0.151981266,1.36E-02,0.155634508,1.81E-03
0,0,0.118690589,2.84E-02,0.124699158,1.08E-02,0.298925517,1.56E-02,0.135573457,2.42E-03
0,0,7.33E-02,8.14E-03,0.159193115,1.37E-02,0.151009878,9.71E-03,2.41E-02,3.27E-03
0,0,0.137217575,3.14E-02,9.26E-02,9.99E-03,0.123572662,6.57E-03,0.10812787,1.00E-03
0,0,9.70E-02,2.02E-02,0.159732957,1.23E-02,0.171490388,6.27E-03,0.112141973,3.28E-03
0,0,0.25168321,3.47E-02,0.15909669,2.10E-02,6.98E-02,1.45E-03,0.266467286,4.16E-03
0,0,0.12027986,2.72E-02,2.23E-02,1.36E-02,0.177862491,2.43E-03,0.184299159,4.29E-03
0,0,0.13627962,2.09E-02,0.160007474,1.49E-02,0.194210633,5.67E-03,0.141526458,4.22E-03
0,0,0.134183156,2.91E-02,0.143850975,1.16E-02,0.15319446,7.31E-03,7.85E-02,2.99E-03
0,0,0.164148839,2.47E-02,8.70E-02,1.38E-02,8.96E-02,7.36E-03,0.154718358,2.08E-03
0,0,2.83E-02,1.36E-02,8.57E-02,2.61E-03,0.111727358,5.35E-03,1.90E-02,2.90E-03
0,0,0.155362464,8.50E-03,0.102980788,7.98E-03,0.131134394,2.98E-03,5.47E-02,3.63E-03
0,0,1.89E-02,2.10E-02,0.157542799,2.18E-02,0.249564451,3.03E-03,8.41E-02,3.33E-03
0,0,0.16428117,1.09E-02,0.120460241,1.33E-02,0.109192679,4.17E-03,6.61E-02,3.86E-03
0,0,0.305564029,4.04E-02,9.13E-02,1.27E-02,0.143834739,7.82E-03,0.160035047,1.14E-03
0,0,0.186838359,3.79E-02,0.114554469,1.15E-02,0.105109556,5.89E-03,5.48E-02,5.44E-03
0,0,8.89E-02,1.12E-02,0.162133375,3.47E-03,7.48E-02,2.51E-03,7.74E-02,3.07E-03
0,0,3.90E-02,1.24E-02,0.255270967,1.85E-02,0.115931646,5.74E-03,0.235463785,1.06E-03
0,0,0.173296743,1.07E-02,5.53E-02,1.09E-02,4.52E-02,8.55E-03,0.206393394,2.49E-03
0,0,0.185025935,2.95E-02,5.34E-02,7.27E-03,0.198879398,7.03E-03,4.49E-02,1.55E-03
0,0,7.52E-02,2.27E-02,4.97E-02,7.97E-03,6.05E-02,5.11E-03,0.218381684,6.53E-03
0,0,5.68E-02,2.17E-03,0.23398545,1.87E-02,0.212546766,1.02E-02,0.173436538,1.55E-03
0,0,0.17157913,4.40E-02,0.140516628,2.23E-02,0.123576837,6.58E-03,0.102569354,2.57E-03
0,0,0.178051147,4.24E-02,0.101951129,1.59E-02,0.103411964,1.06E-02,0.112459757,5.26E-04
0,0,0.116790626,9.23E-03,0.132857236,1.14E-02,0.233878869,8.31E-03,0.114300782,3.63E-03
0,0,0.139396449,3.18E-02,6.67E-02,1.02E-02,0.121912247,9.67E-03,6.00E-02,8.95E-04
0,0,0.137862467,2.18E-02,4.38E-02,8.64E-03,0.105678839,4.47E-03,0.12732457,3.37E-03
0,0,7.12E-02,1.66E-02,5.49E-02,1.30E-02,0.12671432,1.48E-03,0.167021659,3.58E-03
0,0,5.16E-02,4.10E-03,0.217002327,1.49E-02,7.83E-02,5.14E-03,5.45E-02,2.22E-03
0,0,7.13E-02,3.72E-02,8.53E-02,1.01E-02,0.169028766,7.26E-03,0.114723845,9.79E-04
0,0,8.48E-02,2.67E-02,0.183262337,1.41E-02,0.113729023,7.05E-03,9.05E-02,3.57E-03
0,0,5.66E-02,1.95E-02,0.148361288,2.18E-02,0.108607135,9.04E-03,0.294923355,3.02E-03
0,0,0.201300557,1.80E-02,0.202173228,1.90E-02,8.43E-02,2.99E-03,0.10017646,3.85E-03
0,0,7.87E-02,1.67E-02,0.137779251,2.26E-02,0.160868702,1.17E-02,0.23860257,3.63E-03
0,0,0.189856253,1.70E-02,0.145609664,8.38E-03,4.40E-02,7.97E-03,7.84E-02,4.31E-03
0,0,7.66E-02,7.85E-03,0.18232487,1.11E-02,0.119197768,3.06E-03,0.100730556,5.01E-03
0,0,0.275805163,3.71E-02,7.40E-02,2.08E-03,0.307021351,1.06E-02,0.138009798,1.22E-03
0,0,0.139082567,1.94E-02,8.62E-02,3.84E-03,0.116600331,7.68E-03,7.71E-02,2.58E-03
0,0,8.44E-02,1.14E-02,2.65E-02,1.05E-02,8.49E-02,3.32E-03,0.149116107,3.43E-03
0,0,0.128338768,9.32E-03,0.119682793,1.38E-02,0.157790534,1.67E-03,0.211180388,1.74E-03
0,0,0.101226626,1.96E-02,0.12923853,1.37E-02,2.78E-02,3.55E-03,0.118723361,4.60E-03
0,0,7.69E-02,2.02E-02,3.51E-02,1.12E-02,0.176211964,4.39E-03,1.51E-02,1.73E-03
0,0,0.183371448,2.70E-02,0.121118966,1.57E-02,0.243859062,1.02E-02,0.129358805,5.49E-03
0,0,2.04E-02,8.97E-03,0.180410653,1.04E-02,2.32E-02,9.15E-03,9.23E-02,2.41E-03
0,0,8.58E-02,7.75E-03,5.93E-02,6.23E-03,7.66E-02,4.49E-03,0.184510248,2.75E-03
0,0,3.58E-02,1.33E-02,5.38E-02,7.11E-03,6.15E-02,7.93E-03,0.15909618,1.90E-03
0,0,0.147242505,9.21E-03,0.217050002,2.65E-02,6.08E-02,8.14E-03,6.25E-02,6.04E-03
