Column1;C_n;Fai_n;e2(input);v2(output);e3;v3;e4;v4;e5;v5
;0;0;1,16791E+16;9,2259E+13;1,32857E+16;1,14252E+14;2,33879E+16;8,30792E+13;1,14301E+16;3,63246E+13
;0;0;1,39396E+16;3,17694E+14;6,66568E+14;1,02102E+14;1,21912E+16;9,66828E+13;5,99966E+14;8,94622E+12
;0;0;1,37862E+16;2,17779E+14;4,37701E+14;8,63568E+13;1,05679E+16;4,47215E+13;1,27325E+16;3,36757E+13
;0;0;7,12423E+14;1,65541E+14;5,49258E+14;1,30369E+14;1,26714E+16;1,47693E+13;1,67022E+16;3,58117E+13
;0;0;5,16026E+14;4,10089E+13;2,17002E+16;1,49211E+14;7,82652E+14;5,14338E+13;5,44693E+14;2,22066E+13
;0;0;7,12564E+14;3,72425E+14;8,53182E+14;1,01487E+14;1,69029E+16;7,26132E+13;1,14724E+16;9,79362E+12
;0;0;8,48236E+14;2,67342E+14;1,83262E+16;1,41474E+14;1,13729E+16;7,05312E+13;9,05015E+14;3,57217E+13
;0;0;5,65982E+14;1,94829E+14;1,48361E+16;2,18414E+14;1,08607E+16;9,04356E+13;2,94923E+16;3,018E+13
;0;0;2,01301E+16;1,80138E+14;2,02173E+16;1,90059E+14;8,42508E+14;2,98827E+13;1,00176E+16;3,8512E+13
;0;0;7,87385E+14;1,67077E+14;1,37779E+16;2,26253E+14;1,60869E+16;1,16556E+14;2,38603E+16;3,62913E+13
;0;0;1,89856E+16;1,70309E+14;1,4561E+16;8,38174E+13;4,39895E+14;7,97283E+13;7,83601E+14;4,30856E+13
;0;0;7,65693E+14;7,85107E+13;1,82325E+16;1,10596E+14;1,19198E+16;3,05996E+13;1,00731E+16;5,01032E+13
;0;0;2,75805E+16;3,70905E+14;7,39691E+14;2,0805E+13;3,07021E+16;1,06126E+14;1,3801E+16;1,2176E+13
;0;0;1,39083E+16;1,94023E+14;8,61519E+14;3,84045E+13;1,166E+16;7,67698E+13;7,7145E+14;2,57879E+13
;0;0;8,44277E+14;1,14162E+14;2,64815E+14;1,04776E+14;8,48911E+14;3,32124E+13;1,49116E+16;3,43216E+13
;0;0;1,28339E+16;9,32346E+13;1,19683E+16;1,37628E+14;1,57791E+16;1,66974E+13;2,1118E+16;1,73879E+13
;0;0;1,01227E+16;1,95805E+14;1,29239E+16;1,37228E+14;2,78129E+14;3,54553E+13;1,18723E+16;4,60174E+13
;0;0;7,69052E+14;2,02071E+14;3,5075E+14;1,1189E+14;1,76212E+16;4,39373E+13;1,50818E+14;1,72984E+13
;0;0;1,83371E+16;2,69964E+14;1,21119E+16;1,56585E+14;2,43859E+16;1,02257E+14;1,29359E+16;5,49454E+13
;0;0;2,04474E+14;8,97174E+13;1,80411E+16;1,03897E+14;2,31634E+14;9,14846E+13;9,22509E+14;2,40701E+13
;0;0;8,57527E+14;7,75274E+13;5,92558E+14;6,22609E+13;7,6648E+14;4,49448E+13;1,8451E+16;2,74818E+13
;0;0;3,57814E+14;1,32576E+14;5,37514E+14;7,10656E+13;6,1515E+14;7,93229E+13;1,59096E+16;1,9023E+13
;0;0;1,47243E+16;9,20607E+13;2,1705E+16;2,64716E+14;6,07559E+14;8,14314E+13;6,25216E+14;6,03608E+13
;0;0;7,26381E+14;1,6936E+14;1,23983E+16;6,23349E+13;9,39352E+14;2,37803E+13;1,57665E+16;6,09824E+12
;0;0;1,46449E+16;2,98149E+14;8,66034E+14;1,74339E+13;2,20464E+16;5,29205E+13;2,53113E+16;5,10339E+13
;0;0;1,01639E+16;2,97551E+14;6,32824E+14;6,17061E+13;1,6748E+16;5,24302E+13;4,796E+14;3,41589E+13
;0;0;9,20366E+14;1,94309E+14;1,07505E+16;4,4598E+13;1,60758E+16;2,85889E+13;9,74744E+14;3,47637E+13
;0;0;5,07681E+14;1,15457E+14;2,00389E+16;2,43016E+14;1,19786E+16;1,26458E+13;6,79288E+14;4,59101E+13
;0;0;9,04572E+14;9,05835E+13;6,25965E+14;3,09247E+13;2,44327E+16;1,45199E+14;6,46755E+14;5,1192E+13
;0;0;5,06772E+14;5,15845E+13;6,96204E+14;6,86597E+13;4,50497E+14;3,13386E+13;3,55185E+14;4,91984E+13
;0;0;3,2002E+14;1,88694E+14;2,06292E+16;2,80156E+14;8,87771E+14;4,77038E+13;2,43027E+16;2,61218E+13
;0;0;1,27549E+16;2,35323E+14;1,2971E+16;8,84556E+13;7,79044E+14;8,0894E+13;1,73803E+16;2,22877E+12
;0;0;8,82095E+14;1,9278E+14;1,06084E+16;1,4034E+14;3,01465E+16;7,81823E+13;9,25446E+14;5,19413E+13
;0;0;9,07218E+14;2,17969E+14;9,52836E+14;7,62855E+13;1,31719E+16;2,49153E+13;1,57992E+16;3,56346E+13
;0;0;5,02019E+14;1,69535E+14;3,69834E+14;1,53839E+13;1,05946E+16;8,14338E+13;2,09942E+16;3,32894E+13
;0;0;3,7792E+14;4,27352E+13;8,3373E+14;6,43747E+13;1,27984E+16;7,33631E+13;1,2501E+16;1,79604E+13
;0;0;1,50112E+16;2,52962E+14;1,84206E+16;2,31652E+14;9,11742E+14;2,41372E+13;1,71931E+16;4,74606E+13
;0;0;1,56759E+16;2,40627E+14;2,00337E+16;1,30984E+14;1,81656E+16;2,65406E+13;5,59981E+14;6,67818E+13
;0;0;2,53982E+16;4,47324E+14;2,0956E+16;2,32958E+14;1,75018E+16;4,40007E+13;2,41497E+16;3,28053E+13
;0;0;1,87762E+16;2,18452E+14;1,82819E+16;1,81452E+14;1,0642E+16;5,47457E+13;1,42462E+16;4,11087E+13
;0;0;2,2874E+16;4,80908E+14;1,4991E+16;2,74414E+14;2,85641E+16;6,55681E+13;1,3407E+16;5,66989E+13
;0;0;1,47603E+16;2,49018E+14;1,25486E+16;8,46512E+13;2,49178E+16;4,96932E+13;2,05044E+16;4,49814E+13
